FECHA DE APERTURA,DIA DE APERTURA,FISICA,VERBAL,ECONOMICA,PSICOLOGICA,SEXUAL,GENERO M/F VICTIMA,EDAD_VICTIMA_NUM,GENERO AGRESOR M/F,EDAD_AGRESOR_NUM,PARENTESCO FRENTE A LA VICTIMA,COMUNA DE LA VICTIMA,TOTAL_ABUSE_TYPES,IS_INTRAFAMILIAL,IS_MULTIDIMENSIONAL,HAS_PSYCHOLOGICAL,SEVERITY_LEVEL
2022-08-10T00:00:00.000,miercoles,si,si,no,si,no,masculino,13.0,femenino,42.0,madre,comuna1,3,True,True,True,High
2022-08-10T00:00:00.000,miercoles,si,si,no,si,no,femenino,11.0,femenino,29.0,madre,comuna1,3,True,True,True,High
2022-08-22T00:00:00.000,lunes,si,si,no,si,no,femenino,13.0,masculino,43.0,padre,comuna5,3,True,True,True,High
2022-08-05T00:00:00.000,viernes,no,si,no,no,no,femenino,5.0,femenino,,madre,comuna 8,1,True,False,False,Low
2022-08-29T00:00:00.000,lunes,si,si,no,si,si,femenino,17.0,femenino,,madre,comuna 8,4,True,True,True,High
2022-08-11T00:00:00.000,jueves,si,si,no,si,no,femenino,15.0,masculino,,padre,comuna 8,3,True,True,True,High
2022-08-29T00:00:00.000,lunes,si,si,no,si,no,femenino,15.0,femenino,,madre,comuna 8,3,True,True,True,High
2022-08-04T00:00:00.000,jueves,si,si,no,si,no,femenino,12.0,femenino,56.0,abuela,comuna 8,3,False,True,True,High
2022-08-26T00:00:00.000,viernes,si,si,no,si,no,femenino,7.0,femenino,30.0,madre,comuna 8,3,True,True,True,High
2022-08-06T00:00:00.000,sabado,si,si,no,si,no,masculino,14.0,femenino,42.0,madre,comuna 16,3,True,True,True,High
2022-08-07T00:00:00.000,domingo,si,si,no,si,no,masculino,14.0,femenino,,padre,comuna 16,3,True,True,True,High
2022-08-14T00:00:00.000,domingo,si,si,no,si,no,femenino,14.0,femenino,,no aplica,comuna7,3,False,True,True,High
2022-08-14T00:00:00.000,domingo,si,si,no,si,no,masculino,9.0,masculino,,padre,comuna1,3,True,True,True,High
2022-08-14T00:00:00.000,domingo,si,no,no,si,si,femenino,6.0,femenino,,madre,comuna7,3,True,True,True,High
2022-08-12T00:00:00.000,viernes,si,si,no,si,no,masculino,,femenino,,madre,no aplica,3,True,True,True,High
2022-08-26T00:00:00.000,viernes,no,si,no,si,no,masculino,3.0,femenino,,madre,no aplica,2,True,True,True,Medium
2022-08-08T00:00:00.000,lunes,si,si,no,si,no,masculino,16.0,femenino,,madre,comuna2,3,True,True,True,High
2022-08-15T00:00:00.000,domingo,si,si,no,si,no,masculino,11.0,femenino,30.0,madre,comuna7,3,True,True,True,High
2022-08-15T00:00:00.000,domingo,si,si,no,si,no,masculino,2.0,femenino,,madre,comuna7,3,True,True,True,High
2022-08-15T00:00:00.000,domingo,si,si,no,si,no,masculino,13.0,femenino,,madre,comuna6,3,True,True,True,High
2022-08-15T00:00:00.000,domingo,si,si,no,si,no,masculino,10.0,masculino,,padre,comuna5,3,True,True,True,High
2022-08-20T00:00:00.000,domingo,no,si,no,no,no,femenino,7.0,femenino/masculino,,padres,comuna7,1,False,False,False,Low
